"5W_embryo1" "7W_embryo1" "8W_embryo1" "10W_embryo1" "12W_embryo1" "14W_embryo1" "18W_embryo1" "18W_embryo2" "20W_embryo1" "20W_embryo2" "23W_embryo1" "23W_embryo2" "24W_embryo1" "24W_embryo2" "26W_embryo1"
"BICD1" 0.363252699172223 0.273027221857602 0.188609031469848 0.508187825515805 0.274325075608045 0.325766225076051 0.400414684538994 0.260157739577315 0.322308132181422 0.568345024606661 0.295954467324655 0.254345112716363 0.408138276242528 0.525935047457511 0.450467014003462
"BIRC3" 0.518875529764077 0 0 0 0.0808749284557096 0.427322085974165 0.0222621302766902 0 1.00377168385083 0.0276210395656633 0.162773823105847 0.0328600117140435 0 0.431863680261902 0.0337247791997928
"BLVRB" 0.297245780316636 0.432331869306336 0.37791170874136 0.533013179086459 0.244605415324822 0.31456034027751 0.954321215268822 0.53227918206674 0.548086937037199 0.340764231619556 0.348128394849329 0.292261383657983 0.393807756791112 0.488715671088831 0.601365352140784
"BMP2" 0.459999695418311 0.0777172936989373 0 0.0154825070807117 0.561078345253361 0.220220034495269 1.26526671419914 0.894346056070339 0.940667157089006 0.311807944086627 0.0647417442676446 0.372180645004702 0.696151644821596 0.0752834152529897 0.52900372319949
"BMPR2" 0.398696883004928 0.308228700367228 0.256582555718954 0.2871568496957 0.271879379499485 0.382274729592879 0.374408339007855 0.301769950570963 0.407926156745078 0.523391589513116 0.305291699989795 0.235613730901152 0.405458866391444 0.308893886536954 0.362245705665444
"BNIP3L" 0.95722399841321 0.928149059058539 1.08522655076797 1.19317770466891 1.01767847499454 1.43111641338199 1.22413224999794 1.35539682405738 1.17193874414162 1.23066018410149 1.27597191271313 1.3852038324207 0.862366087281597 1.00053176378782 1.26751968867786
"BRD2" 0.665275975905324 0.878342051933202 0.776232351376591 0.64080713485464 0.986043819717131 0.658952807245967 0.784283018652585 0.83541676578899 0.877766787126894 1.02963169340645 0.900491661657791 1.06727785630424 0.979088125010932 0.980276795613432 0.718443824977936
"BRD9" 0.325830461130544 0.429232416843486 0.350629822966208 0.329251920538152 0.396454701529113 0.405686194352047 0.565066818880569 0.422555870818795 0.481597734403936 0.524031090189481 0.402133879644035 0.556040334963308 0.673204726637828 0.50782005629397 0.419112223459887
"BRINP2" 0.18740736514022 0 0.0629303195910559 0.146516909749105 0.101370061327279 0.181882715069531 0.060936607866435 0.750885492933064 0 0.322673142318652 0.0365305399425226 0.00727861221883364 0.326324765772265 0 1.56953971759258
"BST2" 0.507591646603927 0.772270566731304 0.206820759216903 0.346350756923088 0.250755421853159 0.851834054939977 1.08066463386199 1.24658130450742 1.16476938867129 0.457243423770431 0.0935577978059793 0.285225662634077 0.447501692084074 0.489973419699617 0.709662022166214
"BTG1" 0.6171055442781 0.453577113228817 0.464567707666202 0.412779393930773 0.357517307824634 0.661747669372468 0.890027323005437 0.834344558848367 0.811096710578664 0.889885242446151 0.335797573488449 0.484012228884485 0.633104473473472 0.512281040656994 0.883581723511585
"BTG2" 0.267842943098625 0.227374461224693 0.838538901268249 1.03549358170002 0.161381321055502 0.283653417634412 0 0.637691146342708 0.822526739453246 1.03967604647214 0.364569897589754 0.247846270716965 0.0207007625255997 0.346966289433263 0.813236160694696
"BTN3A1" 0.527491938741142 0.0978654196920154 0.121062593545651 0 0.0986823704169955 0.298051362335394 0 0.644244679116173 0.0350810141778354 0.46155933640371 0.167690866910628 0 0 0.408815757394665 1.7132682544708
"C10orf10" 0.424136399758488 0.555095903664178 0.701070448054664 0.724861267400767 0.486829179541886 0.470934450077008 0.885192117079358 0.612811798714577 0.958565437975513 0.713678808750783 0.544724498223761 0.458450218481677 0.451325331416579 0.530393303894211 0.606905252586654
